airline_id,name,country
1,Air 26,Angola
2,Air Asia X,Indonesia
3,Air Bucharest,Romania
4,Air Century,Dominican Republic
5,Air Cudlua,United Kingdom
6,Air Engiadina-BRN,Switzerland
7,Air Italy Egypt,Egypt
8,AlbaStar,Spain
9,Alghanim,United States
10,AtlasGlobal Ukraine,Ukraine
11,Austrian Airlines,Austria
12,BA101,United Kingdom
13,Bingo Airways,Poland
14,Boliviana de Aviacion,Bolivia
15,CBM America,United States
16,Cathay Pacific,Hong Kong
17,Church Fenton Flying Training Unit,United Kingdom
18,Comfort Express Virtual Charters Albany,United States
19,Compania de Aviacion Faucett,Peru
20,Coningsby Flying Training Unit,United Kingdom
21,Cranwell Flying Training Unit,United Kingdom
22,Dan-Air London,United Kingdom
23,Direct Aero Services,Romania
24,Eagle Canyon Airlines,United States
25,East Horizon,Afghanistan
26,Eastern Atlantic Charters,United States
27,EgyptAir Express,Egypt
28,Egyptair,Egypt
29,Enerjet,Canada
30,Executive AirShare,United States
31,FLYJET,Poland
32,FTI Fluggesellschaft,Germany
33,Finlandian,Finland
34,Flugfelag Vestmannaeyja,Iceland
35,Fly Africa Zimbabwe,Zimbabwe
36,Flybe Finland Oy,Finland
37,Go2Sky,Slovakia
38,Golden Myanmar Airlines,Burma
39,Grand China Air,China
40,Hellenic Star Airways,Greece
41,Holidays Czech Airlines,Czech Republic
42,Inter European Airways,United Kingdom
43,Jet Suite,United States
44,Jupiter Airlines,United Arab Emirates
45,Kan Air,Thailand
46,Korea Express Air,South Korea
47,LIO Flugmennt,Iceland
48,Leeming Flying Training Unit,United Kingdom
49,Lossiemouth Flying Training Unit,United Kingdom
50,Malaysia Wings,Malaysia
51,Mann Yadanarpon Airlines,Burma
52,Marham Flying Training Unit,United Kingdom
53,Medallion Air,Romania
54,Norlandair,Iceland
55,Northwood Headquarters,United Kingdom
56,Norwegian Air International,Norway
57,Nurnberger Flugdienst,Germany
58,OCEAN AIR CARGO,India
59,Pouya Air,Iran
60,Princely Jets,Pakistan
61,Priority Aviation Company,United States
62,Private Jet Management,United States
63,Privilege Style L,Spain
64,Pro Air,United States
65,Pro Air Service,United States
66,Professional Express Courier Service,United States
67,Professione VOlare,Italy
68,Promotora Industria Totolapa,Mexico
69,Ptarmigan Airways,Canada
70,Puma Linhas Aereas,Brazil
71,Puntavia Air Services,Djibouti
72,Pyramid Air Lines,Egypt
73,Qanot Sharq,Uzbekistan
74,Qatar Air Cargo,Qatar
75,Qatar Amiri Flight,Qatar
76,Quantex Environmental,Canada
77,Quebec Government Air Service,Canada
78,Quest Diagnostics,United States
79,Quick Air Jet Charter,Germany
80,Quisqueya Airlines,Haiti
81,RAF Leuchars,United Kingdom
82,RAF St Athan,United Kingdom
83,RAF Valley SAR Training Unit,United Kingdom
84,Race Cargo Airlines,Ghana
85,Ram Aircraft Corporation,United States
86,Rangemile Limited,United Kingdom
87,Raven Air,United States
88,Ray Aviation,Israel
89,Raya Jet,Jordan
90,Raytheon Aircraft Company,United States
91,Real Aeroclub De Ternerife,Spain
92,Red Arrows Display Squadron,United Kingdom
93,Red Sea Aviation,Egypt
94,Reed Aviation,United Kingdom
95,Reef Air,New Zealand
96,Regional Air,Mauritania
97,Regional Air Express,Germany
98,Renan,Moldova
99,Renown Aviation,United States
100,Riau Airlines,Indonesia
