route_id,airline_id,dep_airport_id,arr_airport_id,equipment
1,380,1799,232,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
2,380,2216,1455,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
3,380,547,1799,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
4,380,232,1799,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
5,380,105,2443,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
6,380,788,2443,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
7,380,1455,2216,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
8,380,2443,105,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
9,380,2443,113,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
10,380,113,788,Harbin Yunshuji Y12
11,380,606,1061,Harbin Yunshuji Y12
12,380,606,232,Harbin Yunshuji Y12
13,380,788,113,Harbin Yunshuji Y12
14,380,1061,606,Harbin Yunshuji Y12
15,380,1061,2443,Harbin Yunshuji Y12
16,380,1061,232,Harbin Yunshuji Y12
17,380,1682,810,Harbin Yunshuji Y12
18,380,2328,1682,Harbin Yunshuji Y12
19,380,2443,1061,Harbin Yunshuji Y12
20,380,2580,232,Harbin Yunshuji Y12
21,380,232,547,Harbin Yunshuji Y12
22,380,232,606,Harbin Yunshuji Y12
23,380,232,1061,Harbin Yunshuji Y12
24,21,1713,2341,Yakovlev Yak-40
25,21,2341,1713,Yakovlev Yak-40
26,21,2341,1272,Yakovlev Yak-40
27,21,1272,2341,Yakovlev Yak-40
28,98,625,2228,Yakovlev Yak-42;Embraer 190
29,428,1229,1987,Yakovlev Yak-42;Airbus A320
30,428,1987,1229,Yakovlev Yak-42;Airbus A320
31,21,249,2658,Yakovlev Yak-42
32,21,2341,2658,Yakovlev Yak-42
33,21,2575,2658,Yakovlev Yak-42
34,21,2658,249,Yakovlev Yak-42
35,21,2658,2341,Yakovlev Yak-42
36,21,2658,2575,Yakovlev Yak-42
37,98,2795,2228,Yakovlev Yak-42
38,98,1627,2228,Yakovlev Yak-42
39,98,2228,2795,Yakovlev Yak-42
40,98,2228,1627,Yakovlev Yak-42
41,98,2228,1272,Yakovlev Yak-42
42,98,1272,2228,Yakovlev Yak-42
43,244,625,1078,Yakovlev Yak-42
